v1,v2,v3,v4,v5,t1,t2,annotation,radiation rate,timestamp
1.88,1.39,1.05,0.73,3.39,31.25,30.25,0,5137,1580981521.04271
1.88,1.42,1.1,0.73,3.39,31.25,30.0,0,5137,1580981521.68165
1.9,1.42,0.95,0.68,3.3,31.25,30.25,0,5137,1580981522.3206
1.78,1.29,1.0,0.68,3.37,31.25,30.0,0,5137,1580981522.95953
1.78,1.42,1.0,0.73,3.37,31.25,30.25,0,5137,1580981523.59444
1.9,1.42,0.95,0.68,3.3,31.25,30.25,0,5137,1580981524.2334
1.78,1.29,1.0,0.73,3.3,31.25,30.5,0,5137,1580981524.87231
1.78,1.42,1.0,0.76,3.34,31.5,30.25,0,5137,1580981525.50719
1.9,1.42,0.95,0.68,3.3,31.25,30.25,0,5137,1580981526.14614
1.81,1.32,1.03,0.76,3.34,31.25,30.5,0,5137,1580981526.7852
1.81,1.44,1.03,0.73,3.3,31.5,30.25,0,5137,1580981527.41989
1.9,1.32,1.0,0.76,3.39,31.25,30.5,0,5137,1580981528.05885
1.9,1.42,1.05,0.71,3.34,25.75,28.5,0,5137,1580981529.97159
1.9,1.32,1.12,0.76,3.39,25.75,28.5,0,5137,1580981530.61057
1.9,1.42,1.12,0.76,3.39,25.5,28.5,0,5137,1580981531.24942
1.9,1.42,0.98,0.68,3.3,24.75,28.75,0,5137,1580981531.88432
1.88,1.34,1.03,0.73,3.37,25.5,28.5,0,5137,1580981532.52324
1.81,1.32,1.03,0.71,3.37,26.5,29.25,0,5137,1580981533.16217
1.88,1.32,1.1,0.73,3.39,26.75,29.0,0,5137,1580981533.79708
1.9,1.42,0.95,0.68,3.3,25.25,28.75,0,5137,1580981534.43607
1.81,1.32,1.03,0.73,3.37,25.25,28.5,0,5137,1580981535.07495
1.81,1.44,1.0,0.73,3.34,24.75,27.75,0,5137,1580981535.70974
1.9,1.34,1.03,0.68,3.32,24.0,29.5,0,5137,1580981536.34874
1.78,1.34,1.0,0.73,3.3,25.5,28.5,0,5137,1580981536.98771
1.86,1.44,1.0,0.76,3.34,25.0,28.5,0,5137,1580981537.62676
1.9,1.42,1.0,0.73,3.37,26.25,27.5,0,5137,1580981538.26146
1.78,1.42,1.0,0.68,3.39,31.5,30.5,0,5137,1580981538.9004
1.81,1.32,1.0,0.78,3.3,31.5,30.5,0,5137,1580981539.53939
1.88,1.32,1.1,0.78,3.39,31.5,30.75,0,5137,1580981540.17421
1.78,1.29,1.0,0.68,3.39,31.5,30.5,0,5137,1580981540.81319
1.9,1.39,1.12,0.76,3.39,31.5,31.0,0,5137,1580981541.4521
1.9,1.44,1.03,0.76,3.37,31.5,30.75,0,5137,1580981542.08693
1.83,1.39,1.05,0.68,3.39,31.5,31.0,0,5137,1580981542.72589
1.81,1.42,1.03,0.73,3.37,31.5,30.75,0,5137,1580981543.36488
1.9,1.32,1.03,0.73,3.37,31.5,30.75,0,5137,1580981544.0038
1.9,1.42,1.03,0.73,3.3,31.5,31.0,0,5137,1580981544.63862
1.78,1.39,1.0,0.76,3.34,31.75,30.75,0,5137,1580981545.27763
1.9,1.39,1.12,0.78,3.39,31.5,31.0,0,5137,1580981545.9165401
1.9,1.42,0.95,0.68,3.3,31.5,30.75,0,5137,1580981546.55135
1.83,1.42,1.12,0.78,3.39,31.5,31.0,0,5137,1580981547.19034
1.86,1.32,1.0,0.73,3.3,31.5,30.75,0,5137,1580981547.82923
1.88,1.34,1.05,0.71,3.39,31.75,30.75,0,5137,1580981548.46416
1.78,1.42,1.0,0.68,3.37,31.75,31.0,0,5137,1580981549.10319
1.93,1.29,1.03,0.73,3.3,32.0,31.0,0,5137,1580981549.74206
1.9,1.42,1.0,0.73,3.37,31.5,30.75,0,5137,1580981550.3809
1.9,1.32,1.03,0.73,3.37,31.75,30.75,0,5137,1580981551.0158699
1.78,1.39,1.0,0.68,3.37,31.75,31.0,0,5137,1580981551.6548
1.78,1.42,1.0,0.76,3.39,31.5,31.0,0,5137,1580981552.29373
1.78,1.29,1.1,0.73,3.39,31.75,31.0,0,5137,1580981552.92855
1.9,1.42,1.12,0.76,3.39,31.75,30.75,0,5137,1580981553.56751
1.88,1.32,1.05,0.73,3.39,31.5,31.0,0,5137,1580981554.20647
1.88,1.34,1.05,0.68,3.37,32.0,31.0,0,5137,1580981554.84129
1.78,1.39,1.0,0.73,3.3,31.75,30.75,0,5137,1580981555.4802802
1.86,1.44,1.0,0.73,3.3,31.5,31.0,0,5137,1580981556.11924
1.9,1.42,1.0,0.73,3.3,31.75,31.0,0,5137,1580981556.7541099
1.78,1.39,1.0,0.73,3.37,31.75,30.75,0,5137,1580981557.39301
1.81,1.44,1.03,0.76,3.3,32.0,30.75,0,5137,1580981558.03192
1.88,1.39,1.0,0.73,3.37,31.75,30.75,0,5137,1580981558.67083
1.78,1.39,1.0,0.68,3.37,31.75,31.5,0,5137,1580981559.30579
1.78,1.34,0.95,0.71,3.39,31.75,31.25,0,5137,1580981559.94468
1.9,1.42,1.03,0.73,3.32,32.0,31.5,0,5137,1580981560.58367
1.9,1.42,1.0,0.73,3.39,31.75,31.5,0,5137,1580981561.21851
1.9,1.42,1.12,0.76,3.37,32.0,31.5,0,5137,1580981561.85743
1.86,1.44,1.0,0.68,3.37,31.75,31.5,0,5137,1580981562.4964
1.78,1.29,1.05,0.71,3.34,32.0,31.5,0,5137,1580981563.13126
1.78,1.42,1.03,0.76,3.34,31.75,31.5,0,5137,1580981563.77018
1.81,1.32,1.03,0.73,3.34,31.75,31.5,0,5137,1580981564.40914
1.9,1.42,1.0,0.73,3.3,32.0,31.75,0,5137,1580981565.04799
1.9,1.42,1.12,0.73,3.39,31.75,31.25,0,5137,1580981565.68291
1.9,1.42,1.12,0.76,3.39,31.75,31.75,0,5137,1580981566.32186
1.78,1.42,1.03,0.73,3.3,32.0,31.25,0,5137,1580981566.9607801
1.9,1.34,1.1,0.76,3.3,32.0,31.5,0,5137,1580981567.59561
1.88,1.34,1.05,0.73,3.37,32.0,31.25,0,5137,1580981568.2346098
1.88,1.34,1.05,0.76,3.37,32.0,31.5,0,5137,1580981568.87355
1.88,1.44,1.03,0.78,3.37,32.25,31.5,0,5137,1580981569.50836
1.83,1.39,1.0,0.73,3.37,32.25,31.5,0,5137,1580981570.14735
1.88,1.44,1.05,0.73,3.39,32.0,31.75,0,5137,1580981570.78629
1.9,1.32,1.03,0.73,3.37,32.0,31.5,0,5137,1580981571.4251401
1.86,1.34,1.0,0.78,3.34,32.25,31.5,0,5137,1580981572.06007
1.86,1.44,1.0,0.73,3.37,32.0,31.5,0,5137,1580981572.69898
1.86,1.39,1.12,0.73,3.39,32.25,31.5,0,5137,1580981573.33792
1.88,1.39,1.0,0.78,3.34,32.25,31.25,0,5137,1580981573.97278
1.9,1.42,1.12,0.78,3.39,32.0,31.5,0,5137,1580981574.61176
1.9,1.34,1.03,0.68,3.37,32.0,31.5,0,5137,1580981575.2507
1.81,1.32,1.03,0.73,3.3,32.0,31.5,0,5137,1580981575.8856
1.81,1.32,1.03,0.73,3.3,32.25,31.5,0,5137,1580981576.52456
1.78,1.29,1.0,0.76,3.39,32.25,31.5,0,5137,1580981577.16342
1.9,1.42,1.12,0.68,3.39,32.25,31.5,0,5137,1580981577.8024
